provider_code,postcode,lat,lon
RM3,M6 8HD,53.487562,-2.323424
RDE,CO4 5JL,51.910175,0.899213
RDD,SS16 5NL,51.558437,0.451767
RPA,ME7 5NY,51.379861,0.54209
RNZ,SP2 8BJ,51.04394,-1.789814
RL4,WV10 0QP,52.599738,-2.095549
RTD,NE7 7DN,55.002783,-1.593393
RVW,TS24 9AH,54.702408,-1.227851
RR8,LS9 7TF,53.806885,-1.520363
RKB,CV2 2DX,52.421229,-1.438395
RVJ,BS10 5NB,51.494806,-2.591016
RQ8,CM1 7ET,51.774662,0.466021
RXR,BB2 3HH,53.735575,-2.462715
RN7,DA2 8DA,51.434952,0.258673
RD3,BH15 2JB,50.721977,-1.97311
RN3,SN3 6BB,51.538529,-1.727188
RW6,M8 5RB,53.517898,-2.229499
RNU,OX4 4XN,51.717427,-1.229461
RFF,S75 2EP,53.55915,-1.499495
RY2,WA3 7PG,53.414117,-2.527537
RY8,S42 7JE,53.239334,-1.480649
RBK,WS2 9PS,52.582346,-1.998918
RCF,BD20 6TD,53.897957,-1.962729
NJS05,LE11 5JY,52.773311,-1.22594
NLX24,BS37 4AX,51.540459,-2.414235
NNF09,HU7 4DW,53.787428,-0.321368
RHM,SO16 6YD,50.933011,-1.435095
RY4,AL7 1BW,51.802232,-0.194122
RAT,RM13 8GQ,51.518578,0.171162
RPC,RH19 3DZ,51.135069,-0.002873
RQW,CM20 1QX,51.771322,0.087315
NTPAD,PO3 6DW,50.799279,-1.061948
RTF,NE29 8NH,55.025248,-1.467353
RH8,EX2 5DW,50.716692,-3.506694
RY9,TW11 8HU,51.427449,-0.326578
RWP,WR5 1DD,52.191205,-2.181154
NQ108,CO15 1LH,51.786094,1.148205
RVV,CT1 3NG,51.266593,1.087113
RJE,ST4 6QG,53.003262,-2.211798
RTX,LA9 7RG,54.306116,-2.731605
RH5,TA1 5DA,51.011569,-3.121702
RQX,E9 6SR,51.550635,-0.046072
RXH,BN2 5BE,50.819462,-0.118149
RC9,LU4 0DZ,51.894292,-0.474153
RLN,SR4 7TP,54.902214,-1.410327
RDR,BN2 3EW,50.831176,-0.114497
RWG,WD18 0HB,51.648926,-0.404165
RNL,CA2 7HY,54.896504,-2.957796
REP,L8 7SS,53.398478,-2.960077
RK9,PL6 8DH,50.416707,-4.113712
RA4,BA21 4AT,50.944835,-2.634713
RJ2,SE13 6LH,51.453022,-0.017917
RJ6,CR7 7YE,51.389128,-0.108758
RXL,FY3 8NR,53.820675,-3.016275
RCU,S10 2TH,53.380617,-1.490628
RAL,NW3 2QG,51.553227,-0.165298
RN5,RG24 9NA,51.280633,-1.1099
RAX,KT2 7QB,51.414826,-0.282602
RJ1,SE1 7EH,51.49796,-0.11888
RXW,SY3 8XQ,52.709274,-2.793689
RWD,LN2 5QY,53.233597,-0.519635
RC1,MK42 9DJ,52.128277,-0.472474
RTP,RH1 5RH,51.219192,-0.161983
NR3,NG6 8WR,53.006138,-1.211906
RXN,PR2 9HT,53.791521,-2.706842
RRV,NW1 2PG,51.525737,-0.137384
RR7,NE9 6SX,54.939388,-1.580794
RBL,CH49 5PE,53.36964,-3.096815
RHW,RG1 5AN,51.451023,-0.95931
RA7,BS1 3NU,51.459476,-2.593021
RAP,N18 1QX,51.613096,-0.073725
REF,TR1 3LJ,50.266675,-5.091511
RK5,NG17 4JL,53.134573,-1.233579
RLT,CV10 7DJ,52.512597,-1.478431
RTH,OX3 9DU,51.763867,-1.219773
RXQ,HP7 0JD,51.663005,-0.621408
RWF,ME16 9QQ,51.273661,0.484004
RXF,WF1 4DG,53.692434,-1.488558
RGR,IP33 2QZ,52.231679,0.709205
RFR,S60 2UD,53.413991,-1.342881
RWE,LE1 5WW,52.6268,-1.135953
RMC,BL4 0JR,53.553973,-2.429892
RVR,SM5 1AA,51.380188,-0.183708
RJC,CV34 5BW,52.289965,-1.583203
RHU,PO6 3LY,50.850287,-1.069917
RTE,GL53 7AN,51.892128,-2.071875
RCX,PE30 4ET,52.75663,0.446694
RGP,NR31 6LA,52.561697,1.718003
RBT,CW1 4QJ,53.117701,-2.475863
RBS,L12 2AP,53.421263,-2.897796
RNS,NN1 5BD,52.236068,-0.883829
RF4,RM7 0AG,51.568649,0.179058
RP5,DN2 5LT,53.530805,-1.108942
RDZ,BH7 7DW,50.747472,-1.820512
RD1,BA1 3NG,51.391662,-2.391217
RCB,YO31 8HE,53.96897,-1.084294
RA9,TQ2 7AA,50.482303,-3.553819
RA2,GU2 7XX,51.241012,-0.607443
RD8,MK6 5LD,52.026384,-0.73576
RBA,TA1 5DA,51.011569,-3.121702
RRF,WN1 2NN,53.557755,-2.629091
RM1,NR4 7UY,52.617567,1.221195
RFS,S44 5BL,53.236233,-1.400049
